product_id,group_id,image_uuid,status
42746,35678,8f124e55-8c77-4252-9b71-39249c472d60,success
68905,35678,8f124e55-8c77-4252-9b71-39249c472d60,success
42470,35821,c1f1755a-8d98-41a8-9179-7d63d9c3ce2a,success
42480,35823,6c515f97-41ec-4099-89d4-b2ca78009f28,success
83514,73299,ed4dab8e-b3fc-458f-a171-f43067a87175,success
42249,35828,b63d90f3-0ada-418d-bd7e-0d2fdd988a2d,success
42481,35824,ed67f3bd-2bb3-4dc4-8305-a1b98fb26bfe,success
42315,35834,1390adb7-7bff-4376-b67b-421cd4c5f1e0,success
41738,35882,9e57814c-e08e-4c45-a772-208a6c6d039c,success
41580,35716,318aaeb4-d6a8-46f5-9165-ce5b1262a7b3,success
42950,35693,b0a0c8d3-f92b-4fdc-871a-0af93344c863,success
41582,35716,318aaeb4-d6a8-46f5-9165-ce5b1262a7b3,success
41563,35712,7560b0c9-7750-4cc2-9438-4a9c7966e55e,success
41581,35716,318aaeb4-d6a8-46f5-9165-ce5b1262a7b3,success
42954,35694,c4227892-a467-4777-b2c5-1052db60ca4a,success
83301,73121,b4ebd3c0-e4a3-4873-a6f8-15f11db6244b,success
42948,35692,10cb5d2e-a6d7-4ac7-ba8f-adcc4b1b73f1,success
83319,73137,f469762f-7ed9-43e4-9f8e-da96152bc207,success
42611,35792,20341b4b-ee2b-47bd-9949-e87e88c4a36c,success
42856,35741,e22b518c-6556-4c85-8f3c-05504fb394ff,success
41666,35745,4f50ad5c-8ef1-4c61-b4b3-f569c8e0f87e,success
41671,35746,c8cc8b79-285c-4f06-ab7b-60d99d2a2bb1,success
41675,35747,6a70d988-fb53-473e-a12b-0d7fee1c18e5,success
41667,35745,4f50ad5c-8ef1-4c61-b4b3-f569c8e0f87e,success
42401,35750,8ff159c9-fe6f-45b3-82ac-3c66e472db66,success
90806,78752,3a8d70a4-f4f0-4d88-8c35-f72b44da8d55,success
43611,35810,3ea2d8bb-64b8-4d64-b0e5-4b3a6082b645,success
42677,35798,f697becf-a822-4ed8-b72f-f2b20b666512,success
42667,35797,92d3090c-d13e-4398-be13-f4b72589f387,success
41546,35709,3260551b-4fa8-42f1-b14f-f968f5d2cefc,success
41548,35711,677d3c66-d5f8-45bf-b3b5-1b6f4b7fc334,success
41547,35710,1cceb7f8-3086-4d6f-b9fd-6803f01cd884,success
42854,35676,15648539-5e79-465d-b922-6cbc46c92448,success
