product_name,prior_image_uuid,new_image_uuid,product_group_url
"Kief Red Leather","c5e71778-e8d3-49e9-ba4e-1a1f3381bc9c","82fb8e15-aead-4e07-ab35-310d043b648a","https://prime.sweedpos.com/store_setup/products/product/36645"
"King Kong","e7cdd761-238d-449d-ab0c-d824c8a242b8","1b3c69e6-d2cd-4f81-8c59-1f138303f9b8","https://prime.sweedpos.com/store_setup/products/product/76954"
"Kush Cake","b8e414c8-966e-459e-9052-ea316ed811e9","e55d46fd-39d6-4361-a76c-c0e6b18d8c3e","https://prime.sweedpos.com/store_setup/products/product/36499"
"Kush Mintz","f8f09ded-cb61-41db-b33b-06e0ed8b0f95","f84a2443-c972-4d3e-bd76-9ca69149cf4b","https://prime.sweedpos.com/store_setup/products/product/36507"
"Kush Mintz","69584de6-9ae0-4aea-b067-c49a9823d57d","e4a8fdcc-d3ef-4870-aba0-6a9e9435270a","https://prime.sweedpos.com/store_setup/products/product/67854"
"Kush Mintz","62ab182c-505c-4dd3-8300-d472d8a55483","f12af6d5-75f0-4666-a794-f6f88b7521ec","https://prime.sweedpos.com/store_setup/products/product/76036"
"Laughing Buddha","53bcd4b2-0463-46b7-9c13-3a5c85449f99","ef0f802a-236f-404d-9d90-41a505b90ce0","https://prime.sweedpos.com/store_setup/products/product/36677"
"Lemon Berry Sunrise ","785cc1c6-44b3-4a4c-b399-8b15c7d459d7","333570e2-3169-4716-ae9c-62b17247216a","https://prime.sweedpos.com/store_setup/products/product/67154"
"Lemon Cane x Lemon Cane Live Resin Mini","e24140a3-9987-40d5-9a8d-f7272d89d82c","27448a79-8d3c-4481-82cd-bcd17b2e521b","https://prime.sweedpos.com/store_setup/products/product/36543"
"Lemon Cherry Gelato","6fb86b09-4a9f-47e2-95bd-3e937e9d7357","e10e2322-cb8f-4eea-ab06-308827b1cc6c","https://prime.sweedpos.com/store_setup/products/product/71736"
"Lemon Meringue","5ac1b0d7-2b89-4f69-a413-8f09a874f8be","3ea7544d-15b4-47f4-a14e-574464b85a25","https://prime.sweedpos.com/store_setup/products/product/36596"
"Lemon Mintz","b90cf6ce-e482-475b-ae9f-35d4bd72acaa","a1cea1e5-05fb-41fd-833c-996125f1e218","https://prime.sweedpos.com/store_setup/products/product/71826"
"Lemon Warhead","760a16ab-7170-4efa-a8e9-4e4ea9bf7d27","a3324418-e149-4422-adaa-fc71623eefda","https://prime.sweedpos.com/store_setup/products/product/36629"
"Lemonade Haze (Sativa)","5ab3e3d5-cbd5-4d92-842c-2ab0489a0f10","2b3b515d-39d7-4c7d-b61f-c990c5eecb61","https://prime.sweedpos.com/store_setup/products/product/36593"
"Lime Pop","d8324760-ea87-4aec-b9d7-85583bcb719e","6c0a0ee9-0d1f-4090-8109-6beb9519e5fe","https://prime.sweedpos.com/store_setup/products/product/36830"
"Limeade","aaed1d1c-a836-4104-9fa7-ece8095b4f6f","0d6ba38a-8ba8-4543-a375-b8d9b3d061e7","https://prime.sweedpos.com/store_setup/products/product/71978"
"Live Resin 15ml Fresh Strawberry","4013c604-d1a4-42b2-b8db-3ea353db929d","7fd9707b-f437-4300-b934-7a145fdbb9c8","https://prime.sweedpos.com/store_setup/products/product/36708"
"Live Resin Berry Poppins","f50c28de-1d15-49d3-8f3e-44703ddd6903","ed6b101a-85da-45e4-93d0-9dfa05159ce6","https://prime.sweedpos.com/store_setup/products/product/36725"
"Live Resin Blueberry Razz x Sunset Runtz (Indica)","9f57a76d-d502-4c54-af19-afd349a76c4a","2386e07d-51ea-48ac-b9c9-f62c35e5c4c6","https://prime.sweedpos.com/store_setup/products/product/36721"
"Live Resin Candy Apple Driver","d4b4b48d-db26-4058-821d-3fb75537bcff","4feb5220-eb80-4774-a0b5-adcba4fef0ba","https://prime.sweedpos.com/store_setup/products/product/36730"
"Live Resin Citrus Blast","418b6249-3176-42be-957e-87ac2ebc5b48","e03e25de-1508-4be5-8069-161bea4f00c1","https://prime.sweedpos.com/store_setup/products/product/36867"
"Live Resin Colombian Gold","2b2a6d9e-f9ac-46fb-80c8-66c0cbd2c50a","955089be-2379-4d4b-8826-2987153ac341","https://prime.sweedpos.com/store_setup/products/product/36863"
"Live Resin Diamonds Ready To Use Vape Watermelon B","b5bf386e-4cd6-412c-b48e-6da1bf6b130b","f9ed97ba-5b43-419a-9798-02b8d03ab27f","https://prime.sweedpos.com/store_setup/products/product/36805"
"Live Resin Diamonds Reload Strawberry Cough","0a0d7411-8df5-4c76-8e6f-31140780153e","2ace0aa8-7986-497f-8f39-723f0c24ffa7","https://prime.sweedpos.com/store_setup/products/product/36799"
"Live Resin Durban Poison","1d40548a-6608-4347-b1a4-e3de109b8970","e19ac6cd-1ba3-4dbd-b7b0-7ad19623f4f9","https://prime.sweedpos.com/store_setup/products/product/36864"
"Live Resin Electric Lime","97312ed1-c320-4056-be02-761a1fd5fb31","8347329a-9ae9-414c-be36-c13f28dbb648","https://prime.sweedpos.com/store_setup/products/product/36731"
"Live Resin Fruit Punch x Red Frut","5041c9e9-4f9c-43a2-9492-daa6d02fc6b3","90dbad7c-5717-4dfa-a803-370b7bee2e82","https://prime.sweedpos.com/store_setup/products/product/36732"
