product_name,prior_image_uuid,new_image_uuid,product_group_url
"Gelato 33","c42cab3f-de78-4d6f-9673-69980f8cef7d","21bebd8b-2fa0-4a2a-bf8b-1c6cd614d210","https://prime.sweedpos.com/store_setup/products/product/71975"
"Gello","502fefed-0490-4e58-9561-cb66e34c6671","fea7587a-efc2-477f-b1be-cf25c7309205","https://prime.sweedpos.com/store_setup/products/product/36478"
"GG4","8d836007-0d92-439d-9674-384022a05d04","caa57a0f-ecfe-4730-97d8-15d09e2f8a65","https://prime.sweedpos.com/store_setup/products/product/36301"
"Girl Scout Cookies","2d6d8dd1-1e20-484c-8882-e184428588b2","47badd02-3168-4564-9c31-e87dc29e016b","https://prime.sweedpos.com/store_setup/products/product/70296"
"Glitter Bomb","c15611f0-98c4-4476-b337-b5b6908436dd","290b0bef-d73f-4043-bad9-3e48ba7b843a","https://prime.sweedpos.com/store_setup/products/product/36482"
"Glones Black Cherry Gelato","1b3fdd43-1e86-47bd-8cfa-3d2053623174","590f82ac-6f40-4f4b-b0bd-f4c23ab63d3e","https://prime.sweedpos.com/store_setup/products/product/36410"
"Glones Sunset Sherbet","7b174f2e-ed87-4042-8e5e-80dc555cdab4","0a481226-55c7-417b-8bf3-e0123e66e3a4","https://prime.sweedpos.com/store_setup/products/product/36414"
"GlueChee","7c280268-763f-462b-8394-2320c152dccf","f31e823b-c56c-4842-8715-36a12cd2289d","https://prime.sweedpos.com/store_setup/products/product/37793"
"GMOnana","7f55d5d0-f9a7-4a56-a72c-ff8feadcad7b","4fa68ff7-b995-4bc1-8b9a-f6ec5991619e","https://prime.sweedpos.com/store_setup/products/product/36453"
"Godfather OG","0005d308-3403-44ac-aafd-4a108cdae418","0664d882-9cb2-4c18-a2fc-99262d185202","https://prime.sweedpos.com/store_setup/products/product/36344"
"Godfather OG","1fe16656-5d38-45f3-9dc2-db1f63813e5b","13d0cbd6-07cd-4f27-814e-729da7a34237","https://prime.sweedpos.com/store_setup/products/product/36430"
"Godfather OG","151c8e14-80f4-4468-abeb-925d478e4ca4","93cb35c1-5c52-4b57-b0ef-3c5e119fd14f","https://prime.sweedpos.com/store_setup/products/product/36431"
"Goji OG","796d171d-3bbc-4eb5-bd22-5c5deb49fa51","3d913340-79a4-49bf-ba0f-c5ce7ec88a14","https://prime.sweedpos.com/store_setup/products/product/73080"
"Granddaddy Purple","ef62522e-5fb5-4f76-a96d-96ab8d3e06c1","f44549df-4d38-49ca-a848-263cdc0b0af0","https://prime.sweedpos.com/store_setup/products/product/36388"
"Granddaddy Purple (Indica)","7ac50e7e-0a47-4bda-8d64-ebe348ddecd1","7d48fff7-d20b-4f80-b6c8-22a6289fb639","https://prime.sweedpos.com/store_setup/products/product/43978"
"Granddaddy Purple (Indica)","cf01be62-eff5-43a5-8c4a-d0d17d21da27","262fe2a2-2322-4282-a4a3-9ff48a4a806e","https://prime.sweedpos.com/store_setup/products/product/43978"
"Grape Dosi","6a8c5769-3d1f-4fcc-9388-845b20e45fab","d9e97a82-6035-4eb4-a9a3-f0ceb084ad8c","https://prime.sweedpos.com/store_setup/products/product/76753"
"Grape Gas","87678e53-736c-4d16-bf39-168dcb312d11","1749bc64-b6d7-4ef2-bd2b-9edf68012c27","https://prime.sweedpos.com/store_setup/products/product/36292"
"Grape Guava x Peanut Brittle Live Resin Mini","c5b26d88-0228-4545-8f4c-69ac2a4f8c75","286e3330-1a31-4045-9c8c-b7a2c11315ff","https://prime.sweedpos.com/store_setup/products/product/36346"
"Grape Gummy","b67a2a2e-1ef6-4c5a-b4dd-312f215a9f99","5216af81-319d-4553-a1b0-e33662597fff","https://prime.sweedpos.com/store_setup/products/product/71512"
"Grape Jam","965143d6-2573-4859-88e9-c18ed93dc096","5f06a590-5cd4-43af-bec1-e4435fce0cda","https://prime.sweedpos.com/store_setup/products/product/77533"
