product_name,prior_image_uuid,new_image_uuid,product_group_url
"(30mg) Boost","null","c4f05af3-72c7-4652-a139-606e8526ba2b","https://prime.sweedpos.com/store_setup/products/product/35769"
"1:1 Blood Orange (Bliss Uplifting ) + CBC","null","f500f82f-a329-414b-8138-6aec49f4e835","https://prime.sweedpos.com/store_setup/products/product/36043"
"1:1 THC:CBD Pomegranate (Restore Balanced ) + CBD","null","05ca82bc-b453-4f43-ab26-6af454b1dffb","https://prime.sweedpos.com/store_setup/products/product/37656"
"20:1 CBD:THC Strawberry (Calm Balanced ) + CBD","null","769474ba-c77f-4b69-bf36-074612fa29cb","https://prime.sweedpos.com/store_setup/products/product/35840"
"2Face Runtz","null","8cba83ae-7a48-4b01-933c-4b1858da979c","https://prime.sweedpos.com/store_setup/products/product/71952"
"Acapulco Gold","null","536b8ca2-41ea-49bf-a3ef-b47c5ec5116d","https://prime.sweedpos.com/store_setup/products/product/79570"
"ACE Terpologist | Durban Fizz","null","eff32c83-4f4a-48fa-a238-27da8d62f2a5","https://prime.sweedpos.com/store_setup/products/product/35869"
"ACE Terpologist | Pina Gluelada (Indica)","null","f60be8ff-758f-4726-8705-4e2fe3ab983a","https://prime.sweedpos.com/store_setup/products/product/35868"
"Acid","null","73fbf632-e5fe-4437-aba7-bc83550ef97b","https://prime.sweedpos.com/store_setup/products/product/72809"
"Afghani","null","08653353-1c1b-4bfa-ae87-cf9c48908234","https://prime.sweedpos.com/store_setup/products/product/35723"
"AIO Alien OG","null","1d07fa33-33e7-464e-bf8a-3036c1fed795","https://prime.sweedpos.com/store_setup/products/product/35702"
"AIO Cartridge Pineapple Express","null","22d17925-921c-4678-9e29-67a34f0a1420","https://prime.sweedpos.com/store_setup/products/product/35703"
"AIO Solventless Cartridge Frozen Bananas Live Rosi","null","1956d6ce-7dcc-432a-bea4-e6802c38ff91","https://prime.sweedpos.com/store_setup/products/product/35705"
"AIO Solventless Cartridge Pot Pie","null","97f2e036-08de-4ac7-ad19-d2ec628bc576","https://prime.sweedpos.com/store_setup/products/product/43990"
"Alien OG","null","10db4201-6382-4714-9e43-03d64e142aa4","https://prime.sweedpos.com/store_setup/products/product/79484"
"Alien OG (Hybrid)","null","0fce7e84-d32f-46a6-a9fd-c734dc0dd8c3","https://prime.sweedpos.com/store_setup/products/product/35707"
"Alien OG (Hybrid)","null","12c2e59f-1702-4e7b-b097-8c294c6de4fb","https://prime.sweedpos.com/store_setup/products/product/35819"
"Allen Iverson","null","20d02289-b9e9-4790-aab7-242a48b0d2b1","https://prime.sweedpos.com/store_setup/products/product/35734"
